tag,dataset,best_dev_F1,joint_P,joint_R,joint_F1,mate_F1,masc_Acc,masc_F1,evidence_dropout,kan_hidden,patience,pool_mode,class_weight,label_smoothing,layerwise_lr,aux_asc_head,use_crf,text_model,batch_size,grad_accum
R1_obeying,twitter2015,65.15,62.04,66.35,64.12,81.73,76.37,69.16,0.2,"(768,)",8,mean,False,0.0,,False,False,vinai/bertweet-base,16,1
R2_A1A3A5,twitter2015,8.74,5.82,10.03,7.37,8.71,74.93,70.4,0.2,"(768,)",8,mean,True,0.1,0.0001,False,False,vinai/bertweet-base,16,1
R2b_A1fix_A3A5,twitter2015,62.47,61.82,62.3,62.06,82.61,74.45,69.66,0.2,"(768,)",8,mean,True,0.1,0.0001,False,False,vinai/bertweet-base,16,1
R3_A3_long,twitter2015,66.61,61.5,66.25,63.79,83.57,76.37,69.83,0.2,"(768,)",10,mean,False,0.0,0.0001,False,False,vinai/bertweet-base,16,1
E_evid01,twitter2015,63.98,60.38,64.8,62.51,81.77,75.22,70.39,0.1,"(768,)",8,mean,False,0.0,,False,False,vinai/bertweet-base,16,1
E_evid005,twitter2015,62.63,61.34,62.58,61.96,79.33,76.86,71.13,0.05,"(768,)",8,mean,False,0.0,,False,False,vinai/bertweet-base,16,1
E_kan1024,twitter2015,64.66,62.28,65.77,63.98,82.36,75.7,68.99,0.2,"(1024, 512)",8,mean,False,0.0,,False,False,vinai/bertweet-base,16,1
A_asc,twitter2015,64.43,60.13,63.84,61.93,80.64,76.18,70.78,0.2,"(768,)",8,mean,False,0.0,,True,False,vinai/bertweet-base,16,1
A_asc_A3,twitter2015,65.44,60.96,64.9,62.87,80.43,77.72,72.76,0.2,"(768,)",8,mean,False,0.0,0.0001,True,False,vinai/bertweet-base,16,1
A_asc_evid01,twitter2015,63.63,60.65,62.58,61.6,76.7,76.66,70.88,0.1,"(768,)",8,mean,False,0.0,,True,False,vinai/bertweet-base,16,1
C1_richasc,twitter2015,65.81,60.8,67.02,63.76,81.19,78.5,73.36,0.2,"(768,)",8,mean,False,0.0,,True,False,vinai/bertweet-base,16,1
C2_richasc_A3,twitter2015,64.9,59.59,63.84,61.64,79.7,76.76,71.58,0.2,"(768,)",8,mean,False,0.0,0.0001,True,False,vinai/bertweet-base,16,1
C3_richasc_A3_long,twitter2015,66.06,61.35,65.96,63.57,82.16,76.57,71.43,0.2,"(768,)",10,mean,False,0.0,0.0001,True,False,vinai/bertweet-base,16,1
D1_crf,twitter2015,65.38,63.41,66.35,64.84,84.26,75.51,69.44,0.2,"(768,)",8,mean,False,0.0,,False,True,vinai/bertweet-base,16,1
D2_crf_richasc,twitter2015,65.3,63.15,66.92,64.98,83.99,77.15,70.57,0.2,"(768,)",8,mean,False,0.0,,True,True,vinai/bertweet-base,16,1
E8_large_best,twitter2015,66.61,63.07,65.38,64.2,83.62,76.08,69.71,0.2,"(768,)",8,mean,False,0.0,,False,False,vinai/bertweet-large,8,2
E9_large_crf_richasc,twitter2015,66.17,62.26,65.38,63.78,83.82,75.8,70.33,0.2,"(768,)",8,mean,False,0.0,,True,True,vinai/bertweet-large,8,2
T17_large_crf_richasc,twitter2017,66.31,66.75,68.64,67.68,92.29,72.85,72.0,0.2,"(768,)",8,mean,False,0.0,,True,True,vinai/bertweet-large,8,2
T17_D2_base_crf_richasc,twitter2017,64.48,65.23,67.67,66.43,91.17,72.04,70.87,0.2,"(768,)",8,mean,False,0.0,,True,True,vinai/bertweet-base,16,1
ALLIN_t2015,twitter2015,62.52,62.22,66.06,64.08,84.1,74.73,68.67,0.2,"(768,)",8,mean,False,0.0,,True,True,vinai/bertweet-base,16,1,True,True
NS_twitter2015,twitter2015,,63.02,66.06,64.5,84.93,74.83,68.66,,,,"ns:bio=1,a=0.6,w=4,c=0",,,,,,,,
ALLIN_deb_t2015,twitter2015,67.02,65.72,67.12,66.41,85.4,76.95,70.95,0.2,"(768,)",8,mean,False,0.0,,True,True,microsoft/deberta-v3-large,4,4,True,True
NS_twitter2015,twitter2015,,66.0,67.21,66.6,85.71,77.05,71.22,,,,"ns:bio=1,a=0.6,w=4,c=0",,,,,,,,
ENS_s42,twitter2015,68.23,66.64,68.18,67.4,84.56,78.21,72.19,0.2,"(768,)",8,mean,False,0.0,,True,True,microsoft/deberta-v3-large,4,4,False,False
ENS_s43,twitter2015,67.14,66.89,67.6,67.24,85.85,77.15,72.42,0.2,"(768,)",8,mean,False,0.0,,True,True,microsoft/deberta-v3-large,4,4,False,False
ALLIN_deb_A11,twitter2015,68.19,65.46,67.79,66.6,85.17,77.34,70.75,0.2,"(768,)",8,mean,False,0.0,,True,True,microsoft/deberta-v3-large,4,4,True,True
